pathwayName,searchTerms,genes,library,diseaseId,name,therapeuticAreas
MET In Type 1 Papillary Renal Cell Carcinoma WP4205,carcinoma,PIK3R1,WikiPathways_2024_Human,EFO_0000313,carcinoma,['MONDO_0045024']
MET In Type 1 Papillary Renal Cell Carcinoma WP4205,carcinoma,CRK,WikiPathways_2024_Human,EFO_0000313,carcinoma,['MONDO_0045024']
MET In Type 1 Papillary Renal Cell Carcinoma WP4205,carcinoma,MET,WikiPathways_2024_Human,EFO_0000313,carcinoma,['MONDO_0045024']
MET In Type 1 Papillary Renal Cell Carcinoma WP4205,carcinoma,GRB2,WikiPathways_2024_Human,EFO_0000313,carcinoma,['MONDO_0045024']
MET In Type 1 Papillary Renal Cell Carcinoma WP4205,carcinoma,KRAS,WikiPathways_2024_Human,EFO_0000313,carcinoma,['MONDO_0045024']
MET In Type 1 Papillary Renal Cell Carcinoma WP4205,carcinoma,STRN,WikiPathways_2024_Human,EFO_0000313,carcinoma,['MONDO_0045024']
MET In Type 1 Papillary Renal Cell Carcinoma WP4205,carcinoma,SRC,WikiPathways_2024_Human,EFO_0000313,carcinoma,['MONDO_0045024']
MET In Type 1 Papillary Renal Cell Carcinoma WP4205,carcinoma,CDKN1A,WikiPathways_2024_Human,EFO_0000313,carcinoma,['MONDO_0045024']
MET In Type 1 Papillary Renal Cell Carcinoma WP4205,carcinoma,PIK3CD,WikiPathways_2024_Human,EFO_0000313,carcinoma,['MONDO_0045024']
MET In Type 1 Papillary Renal Cell Carcinoma WP4205,carcinoma,ETS1,WikiPathways_2024_Human,EFO_0000313,carcinoma,['MONDO_0045024']
MET In Type 1 Papillary Renal Cell Carcinoma WP4205,carcinoma,CBL,WikiPathways_2024_Human,EFO_0000313,carcinoma,['MONDO_0045024']
MET In Type 1 Papillary Renal Cell Carcinoma WP4205,carcinoma,MAPK8,WikiPathways_2024_Human,EFO_0000313,carcinoma,['MONDO_0045024']
MET In Type 1 Papillary Renal Cell Carcinoma WP4205,carcinoma,ELOA,WikiPathways_2024_Human,EFO_0000313,carcinoma,['MONDO_0045024']
MET In Type 1 Papillary Renal Cell Carcinoma WP4205,carcinoma,MAPK3,WikiPathways_2024_Human,EFO_0000313,carcinoma,['MONDO_0045024']
MET In Type 1 Papillary Renal Cell Carcinoma WP4205,carcinoma,HRAS,WikiPathways_2024_Human,EFO_0000313,carcinoma,['MONDO_0045024']
MET In Type 1 Papillary Renal Cell Carcinoma WP4205,carcinoma,MAPK1,WikiPathways_2024_Human,EFO_0000313,carcinoma,['MONDO_0045024']
MET In Type 1 Papillary Renal Cell Carcinoma WP4205,carcinoma,PLCG1,WikiPathways_2024_Human,EFO_0000313,carcinoma,['MONDO_0045024']
MET In Type 1 Papillary Renal Cell Carcinoma WP4205,carcinoma,RAC1,WikiPathways_2024_Human,EFO_0000313,carcinoma,['MONDO_0045024']
MET In Type 1 Papillary Renal Cell Carcinoma WP4205,carcinoma,JAK3,WikiPathways_2024_Human,EFO_0000313,carcinoma,['MONDO_0045024']
MET In Type 1 Papillary Renal Cell Carcinoma WP4205,carcinoma,INSL3,WikiPathways_2024_Human,EFO_0000313,carcinoma,['MONDO_0045024']
Melanoma,melanom,PDGFRB,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,EGF,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,PDGFRA,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,BAD,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,MITF,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,BRAF,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,CDK6,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,PIK3CB,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,PIK3CA,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,CDK4,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,BAX,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,TP53,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,RAF1,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,RB1,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,PIK3R3,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,ARAF,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
