pathwayName,searchTerms,genes,library,diseaseId,name,therapeuticAreas
GLAUCOMA,glaucoma,MYH8,Jensen_DISEASES_Experimental_2025,MONDO_0005041,glaucoma,['MONDO_0024458']
GLAUCOMA,glaucoma,STOML1,Jensen_DISEASES_Experimental_2025,MONDO_0005041,glaucoma,['MONDO_0024458']
GLAUCOMA,glaucoma,CKS1B,Jensen_DISEASES_Experimental_2025,MONDO_0005041,glaucoma,['MONDO_0024458']
GLAUCOMA,glaucoma,DBH,Jensen_DISEASES_Experimental_2025,MONDO_0005041,glaucoma,['MONDO_0024458']
GLAUCOMA,glaucoma,SLC40A1,Jensen_DISEASES_Experimental_2025,MONDO_0005041,glaucoma,['MONDO_0024458']
GLAUCOMA,glaucoma,SCFD2,Jensen_DISEASES_Experimental_2025,MONDO_0005041,glaucoma,['MONDO_0024458']
GLAUCOMA,glaucoma,CASP7,Jensen_DISEASES_Experimental_2025,MONDO_0005041,glaucoma,['MONDO_0024458']
GLAUCOMA,glaucoma,MUTYH,Jensen_DISEASES_Experimental_2025,MONDO_0005041,glaucoma,['MONDO_0024458']
GLAUCOMA,glaucoma,CHID1,Jensen_DISEASES_Experimental_2025,MONDO_0005041,glaucoma,['MONDO_0024458']
GLAUCOMA,glaucoma,CAMK1D,Jensen_DISEASES_Experimental_2025,MONDO_0005041,glaucoma,['MONDO_0024458']
GLAUCOMA,glaucoma,TCF7L2,Jensen_DISEASES_Experimental_2025,MONDO_0005041,glaucoma,['MONDO_0024458']
GLAUCOMA,glaucoma,GLP2R,Jensen_DISEASES_Experimental_2025,MONDO_0005041,glaucoma,['MONDO_0024458']
GLAUCOMA,glaucoma,ANXA11,Jensen_DISEASES_Experimental_2025,MONDO_0005041,glaucoma,['MONDO_0024458']
GLAUCOMA,glaucoma,TSHR,Jensen_DISEASES_Experimental_2025,MONDO_0005041,glaucoma,['MONDO_0024458']
GLAUCOMA,glaucoma,FMNL2,Jensen_DISEASES_Experimental_2025,MONDO_0005041,glaucoma,['MONDO_0024458']
GLAUCOMA,glaucoma,LMX1B,Jensen_DISEASES_Experimental_2025,MONDO_0005041,glaucoma,['MONDO_0024458']
